127.0.0.1, 2014-02-17 23:17:37, GET, /topolab/static/js/jquery.js, HTTP/1.1, 304, 0.000534
127.0.0.1, 2014-02-17 23:17:37, GET, /topolab/static/css/calendar.css, HTTP/1.1, 304, 0.002361
127.0.0.1, 2014-02-17 23:17:37, GET, /topolab/static/js/web2py.js, HTTP/1.1, 304, 0.001057
127.0.0.1, 2014-02-17 23:17:37, GET, /topolab/static/css/web2py.css, HTTP/1.1, 304, 0.001689
127.0.0.1, 2014-02-17 23:17:37, GET, /topolab/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.003436
127.0.0.1, 2014-02-17 23:17:37, GET, /topolab/static/js/calendar.js, HTTP/1.1, 304, 0.005188
127.0.0.1, 2014-02-17 23:17:37, GET, /topolab/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.003040
127.0.0.1, 2014-02-17 23:17:37, GET, /topolab/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000526
127.0.0.1, 2014-02-17 23:17:37, GET, /topolab/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.001075
127.0.0.1, 2014-02-17 23:17:37, GET, /topolab/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001514
127.0.0.1, 2014-02-17 23:17:37, GET, /topolab/static/js/share.js, HTTP/1.1, 304, 0.000699
127.0.0.1, 2014-02-17 23:17:37, GET, /topolab/static/images/facebook.png, HTTP/1.1, 304, 0.000497
127.0.0.1, 2014-02-17 23:17:37, GET, /topolab/static/images/gplus-32.png, HTTP/1.1, 304, 0.002354
127.0.0.1, 2014-02-17 23:17:37, GET, /topolab/static/images/twitter.png, HTTP/1.1, 304, 0.000457
127.0.0.1, 2014-02-17 23:17:39, GET, /topolab/hasse/prueba, HTTP/1.1, 200, 0.044171
127.0.0.1, 2014-02-17 23:17:39, GET, /topolab/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000972
127.0.0.1, 2014-02-17 23:17:39, GET, /topolab/static/js/jquery.js, HTTP/1.1, 304, 0.000481
127.0.0.1, 2014-02-17 23:17:39, GET, /topolab/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000441
127.0.0.1, 2014-02-17 23:17:39, GET, /topolab/static/js/calendar.js, HTTP/1.1, 304, 0.000510
127.0.0.1, 2014-02-17 23:17:39, GET, /topolab/static/js/web2py.js, HTTP/1.1, 304, 0.000532
127.0.0.1, 2014-02-17 23:17:39, GET, /topolab/static/css/web2py.css, HTTP/1.1, 304, 0.000839
127.0.0.1, 2014-02-17 23:17:39, GET, /topolab/static/css/calendar.css, HTTP/1.1, 304, 0.000474
127.0.0.1, 2014-02-17 23:17:39, GET, /topolab/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.001287
127.0.0.1, 2014-02-17 23:17:39, GET, /topolab/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000748
127.0.0.1, 2014-02-17 23:17:39, GET, /topolab/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000512
127.0.0.1, 2014-02-17 23:17:39, GET, /topolab/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000561
127.0.0.1, 2014-02-17 23:17:39, GET, /topolab/static/js/share.js, HTTP/1.1, 304, 0.000522
127.0.0.1, 2014-02-17 23:17:39, GET, /topolab/static/images/facebook.png, HTTP/1.1, 304, 0.001152
127.0.0.1, 2014-02-17 23:17:39, GET, /topolab/static/images/gplus-32.png, HTTP/1.1, 304, 0.002073
127.0.0.1, 2014-02-17 23:17:39, GET, /topolab/static/images/twitter.png, HTTP/1.1, 304, 0.001518
127.0.0.1, 2014-02-17 23:17:42, GET, /topolab/hasse/prueba, HTTP/1.1, 200, 0.054843
127.0.0.1, 2014-02-17 23:17:42, GET, /topolab/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000579
127.0.0.1, 2014-02-17 23:17:42, GET, /topolab/static/js/web2py.js, HTTP/1.1, 304, 0.000483
127.0.0.1, 2014-02-17 23:17:42, GET, /topolab/static/css/calendar.css, HTTP/1.1, 304, 0.000476
127.0.0.1, 2014-02-17 23:17:42, GET, /topolab/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.002679
127.0.0.1, 2014-02-17 23:17:42, GET, /topolab/static/js/jquery.js, HTTP/1.1, 304, 0.011189
127.0.0.1, 2014-02-17 23:17:42, GET, /topolab/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000562
127.0.0.1, 2014-02-17 23:17:42, GET, /topolab/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000760
127.0.0.1, 2014-02-17 23:17:42, GET, /topolab/static/css/web2py.css, HTTP/1.1, 304, 0.000530
127.0.0.1, 2014-02-17 23:17:42, GET, /topolab/static/js/calendar.js, HTTP/1.1, 304, 0.000736
127.0.0.1, 2014-02-17 23:17:43, GET, /topolab/static/js/share.js, HTTP/1.1, 304, 0.001199
127.0.0.1, 2014-02-17 23:17:43, GET, /topolab/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000772
127.0.0.1, 2014-02-17 23:17:43, GET, /topolab/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.002432
127.0.0.1, 2014-02-17 23:17:43, GET, /topolab/static/images/gplus-32.png, HTTP/1.1, 304, 0.001094
127.0.0.1, 2014-02-17 23:17:43, GET, /topolab/static/images/twitter.png, HTTP/1.1, 304, 0.001505
127.0.0.1, 2014-02-17 23:17:43, GET, /topolab/static/images/facebook.png, HTTP/1.1, 304, 0.000687
127.0.0.1, 2014-02-17 23:17:46, GET, /topolab/hasse/prueba, HTTP/1.1, 200, 0.048409
127.0.0.1, 2014-02-17 23:17:46, GET, /topolab/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000702
127.0.0.1, 2014-02-17 23:17:46, GET, /topolab/static/js/jquery.js, HTTP/1.1, 304, 0.000590
127.0.0.1, 2014-02-17 23:17:46, GET, /topolab/static/css/calendar.css, HTTP/1.1, 304, 0.000557
127.0.0.1, 2014-02-17 23:17:46, GET, /topolab/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.002181
127.0.0.1, 2014-02-17 23:17:46, GET, /topolab/static/js/web2py.js, HTTP/1.1, 304, 0.001532
127.0.0.1, 2014-02-17 23:17:46, GET, /topolab/static/js/calendar.js, HTTP/1.1, 304, 0.000531
127.0.0.1, 2014-02-17 23:17:46, GET, /topolab/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000679
127.0.0.1, 2014-02-17 23:17:46, GET, /topolab/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000486
127.0.0.1, 2014-02-17 23:17:46, GET, /topolab/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.001536
127.0.0.1, 2014-02-17 23:17:46, GET, /topolab/static/css/web2py.css, HTTP/1.1, 304, 0.001165
127.0.0.1, 2014-02-17 23:17:46, GET, /topolab/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.003506
127.0.0.1, 2014-02-17 23:17:46, GET, /topolab/static/js/share.js, HTTP/1.1, 304, 0.000549
127.0.0.1, 2014-02-17 23:17:46, GET, /topolab/static/images/twitter.png, HTTP/1.1, 304, 0.001337
127.0.0.1, 2014-02-17 23:17:46, GET, /topolab/static/images/gplus-32.png, HTTP/1.1, 304, 0.001683
127.0.0.1, 2014-02-17 23:17:46, GET, /topolab/static/images/facebook.png, HTTP/1.1, 304, 0.001591
127.0.0.1, 2014-02-17 23:17:53, GET, /topolab/static/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000658
127.0.0.1, 2014-02-17 23:18:19, GET, /topolab/hasse/prueba, HTTP/1.1, 200, 0.047559
127.0.0.1, 2014-02-17 23:18:19, GET, /topolab/static/js/jquery.js, HTTP/1.1, 304, 0.001154
127.0.0.1, 2014-02-17 23:18:19, GET, /topolab/static/js/web2py.js, HTTP/1.1, 304, 0.002280
127.0.0.1, 2014-02-17 23:18:19, GET, /topolab/static/js/calendar.js, HTTP/1.1, 304, 0.002338
127.0.0.1, 2014-02-17 23:18:19, GET, /topolab/static/css/web2py.css, HTTP/1.1, 304, 0.002859
127.0.0.1, 2014-02-17 23:18:19, GET, /topolab/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.001231
127.0.0.1, 2014-02-17 23:18:19, GET, /topolab/static/css/calendar.css, HTTP/1.1, 304, 0.001014
127.0.0.1, 2014-02-17 23:18:19, GET, /topolab/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000534
127.0.0.1, 2014-02-17 23:18:19, GET, /topolab/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000640
127.0.0.1, 2014-02-17 23:18:19, GET, /topolab/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.001447
127.0.0.1, 2014-02-17 23:18:19, GET, /topolab/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000496
127.0.0.1, 2014-02-17 23:18:19, GET, /topolab/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000560
127.0.0.1, 2014-02-17 23:18:19, GET, /topolab/static/js/share.js, HTTP/1.1, 304, 0.000387
127.0.0.1, 2014-02-17 23:18:19, GET, /topolab/static/images/gplus-32.png, HTTP/1.1, 304, 0.000812
127.0.0.1, 2014-02-17 23:18:19, GET, /topolab/static/images/facebook.png, HTTP/1.1, 304, 0.000725
127.0.0.1, 2014-02-17 23:18:19, GET, /topolab/static/images/twitter.png, HTTP/1.1, 304, 0.001412
127.0.0.1, 2014-02-17 23:20:06, GET, /topolab/hasse/prueba, HTTP/1.1, 200, 0.055999
127.0.0.1, 2014-02-17 23:20:06, GET, /topolab/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.003183
127.0.0.1, 2014-02-17 23:20:06, GET, /topolab/static/js/web2py.js, HTTP/1.1, 304, 0.001856
127.0.0.1, 2014-02-17 23:20:06, GET, /topolab/static/js/jquery.js, HTTP/1.1, 304, 0.002684
127.0.0.1, 2014-02-17 23:20:06, GET, /topolab/static/css/web2py.css, HTTP/1.1, 304, 0.002496
127.0.0.1, 2014-02-17 23:20:06, GET, /topolab/static/js/calendar.js, HTTP/1.1, 304, 0.001616
127.0.0.1, 2014-02-17 23:20:06, GET, /topolab/static/css/calendar.css, HTTP/1.1, 304, 0.001437
127.0.0.1, 2014-02-17 23:20:06, GET, /topolab/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000713
127.0.0.1, 2014-02-17 23:20:06, GET, /topolab/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000519
127.0.0.1, 2014-02-17 23:20:06, GET, /topolab/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000507
127.0.0.1, 2014-02-17 23:20:06, GET, /topolab/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001635
127.0.0.1, 2014-02-17 23:20:06, GET, /topolab/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.001177
127.0.0.1, 2014-02-17 23:20:06, GET, /topolab/static/js/share.js, HTTP/1.1, 304, 0.000793
127.0.0.1, 2014-02-17 23:20:06, GET, /topolab/static/images/gplus-32.png, HTTP/1.1, 304, 0.000859
127.0.0.1, 2014-02-17 23:20:06, GET, /topolab/static/images/twitter.png, HTTP/1.1, 304, 0.001604
127.0.0.1, 2014-02-17 23:20:06, GET, /topolab/static/images/facebook.png, HTTP/1.1, 304, 0.000872
127.0.0.1, 2014-02-17 23:20:18, GET, /topolab/hasse/prueba, HTTP/1.1, 200, 0.040915
127.0.0.1, 2014-02-17 23:20:18, GET, /topolab/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000727
127.0.0.1, 2014-02-17 23:20:18, GET, /topolab/static/css/web2py.css, HTTP/1.1, 304, 0.000610
127.0.0.1, 2014-02-17 23:20:18, GET, /topolab/static/js/calendar.js, HTTP/1.1, 304, 0.002874
127.0.0.1, 2014-02-17 23:20:18, GET, /topolab/static/js/jquery.js, HTTP/1.1, 304, 0.004190
127.0.0.1, 2014-02-17 23:20:18, GET, /topolab/static/js/web2py.js, HTTP/1.1, 304, 0.000835
127.0.0.1, 2014-02-17 23:20:18, GET, /topolab/static/css/calendar.css, HTTP/1.1, 304, 0.005957
127.0.0.1, 2014-02-17 23:20:18, GET, /topolab/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000577
127.0.0.1, 2014-02-17 23:20:18, GET, /topolab/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000457
127.0.0.1, 2014-02-17 23:20:18, GET, /topolab/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.001182
127.0.0.1, 2014-02-17 23:20:18, GET, /topolab/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000537
127.0.0.1, 2014-02-17 23:20:18, GET, /topolab/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.002135
127.0.0.1, 2014-02-17 23:20:18, GET, /topolab/static/js/share.js, HTTP/1.1, 304, 0.001006
127.0.0.1, 2014-02-17 23:20:18, GET, /topolab/static/images/facebook.png, HTTP/1.1, 304, 0.001130
127.0.0.1, 2014-02-17 23:20:18, GET, /topolab/static/images/gplus-32.png, HTTP/1.1, 304, 0.000864
127.0.0.1, 2014-02-17 23:20:18, GET, /topolab/static/images/twitter.png, HTTP/1.1, 304, 0.002002
127.0.0.1, 2014-02-17 23:21:15, GET, /topolab/hasse/prueba, HTTP/1.1, 200, 0.064671
127.0.0.1, 2014-02-17 23:21:15, GET, /topolab/static/css/calendar.css, HTTP/1.1, 304, 0.002524
127.0.0.1, 2014-02-17 23:21:15, GET, /topolab/static/js/jquery.js, HTTP/1.1, 304, 0.001820
127.0.0.1, 2014-02-17 23:21:15, GET, /topolab/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.004961
127.0.0.1, 2014-02-17 23:21:15, GET, /topolab/static/css/web2py.css, HTTP/1.1, 304, 0.002307
127.0.0.1, 2014-02-17 23:21:15, GET, /topolab/static/js/web2py.js, HTTP/1.1, 304, 0.002925
127.0.0.1, 2014-02-17 23:21:15, GET, /topolab/static/js/calendar.js, HTTP/1.1, 304, 0.006188
127.0.0.1, 2014-02-17 23:21:15, GET, /topolab/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000492
127.0.0.1, 2014-02-17 23:21:15, GET, /topolab/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.001446
127.0.0.1, 2014-02-17 23:21:15, GET, /topolab/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000616
127.0.0.1, 2014-02-17 23:21:15, GET, /topolab/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.002200
127.0.0.1, 2014-02-17 23:21:15, GET, /topolab/static/js/share.js, HTTP/1.1, 304, 0.001234
127.0.0.1, 2014-02-17 23:21:15, GET, /topolab/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.001116
127.0.0.1, 2014-02-17 23:21:15, GET, /topolab/static/images/facebook.png, HTTP/1.1, 304, 0.001375
127.0.0.1, 2014-02-17 23:21:15, GET, /topolab/static/images/twitter.png, HTTP/1.1, 304, 0.001272
127.0.0.1, 2014-02-17 23:21:15, GET, /topolab/static/images/gplus-32.png, HTTP/1.1, 304, 0.001440
127.0.0.1, 2014-02-17 23:22:03, GET, /topolab/hasse/prueba, HTTP/1.1, 200, 0.044316
